student_id,study_program,year
1,Aplikovaná informatika,2
2,Aplikovaná informatika,2
3,Aplikovaná informatika,2
4,Aplikovaná informatika,2
5,Informatika,2
6,Aplikovaná informatika,2
7,Aplikovaná informatika,2
8,Informatika,2
9,Aplikovaná informatika,2
10,Aplikovaná informatika,2
11,Aplikovaná informatika,2
12,Informatika,2
13,Aplikovaná informatika,2
14,Aplikovaná informatika,2
15,Aplikovaná informatika,2
16,Informatika,2
17,Aplikovaná informatika,2
18,Aplikovaná informatika,2
19,Aplikovaná informatika,2
20,Informatika,2
21,Aplikovaná informatika,2
22,Aplikovaná informatika,2
23,Aplikovaná informatika,2
24,Informatika,2
25,Aplikovaná informatika,2
26,Aplikovaná informatika,2
27,Aplikovaná informatika,2
28,Informatika,2
29,Aplikovaná informatika,2
30,Aplikovaná informatika,2
31,Aplikovaná informatika,2
32,Informatika,2
33,Aplikovaná informatika,2
34,Aplikovaná informatika,2
35,Aplikovaná informatika,2
36,Aplikovaná informatika,2
37,Informatika,2
38,Aplikovaná informatika,2
39,Aplikovaná informatika,2
40,Aplikovaná informatika,2
41,Aplikovaná informatika,2
42,Aplikovaná informatika,2
